epoch,train_loss,train_acc,val_loss,val_acc,val_kappa,val_macro_f1,val_f1_W,val_f1_N1,val_f1_N2,val_f1_N3,val_f1_REM
1,0.05126648433552697,0.6661874638220459,0.048539863358606425,0.6881689492461733,0.5922628388014181,0.638711280290097,0.839075327603717,0.3382335117553598,0.7086603846490127,0.633723654249685,0.6738635231927106
2,0.0419285423846041,0.7107939855012542,0.04343407683692712,0.7028220547051828,0.6164361851859406,0.6580940553470007,0.879148265655942,0.3735591145567683,0.6864298907479729,0.6358727833845847,0.7154602223897364
3,0.039238094971634996,0.7224607899886987,0.0501920005231787,0.7030042774389075,0.6160678297174965,0.6722520238281919,0.8669390874627086,0.3501361421610777,0.7175996073326362,0.7208794071295537,0.7057058750549835
4,0.0377728452713017,0.7282707627001846,0.04468895697269307,0.7248009935934323,0.6401146468531069,0.6679409182017559,0.8722413507010702,0.32846186882630835,0.7459968635143491,0.7049320057339894,0.6880725022330626
5,0.036631995071652,0.7345748229003004,0.043505229436599395,0.7078739402309433,0.6203921225627417,0.6506302981887326,0.8756751224878792,0.31745363974050683,0.7139404023597036,0.66173879213676,0.6843435342188133
6,0.035573860929975006,0.7378950632597371,0.04300302821291369,0.6798193117735067,0.5918803445297536,0.6400330387043441,0.855533628025157,0.36990003825491075,0.6609300444803882,0.6366935704265126,0.6771079123347519
7,0.03486703334720158,0.7420655199977949,0.043730645993803136,0.7139668930064833,0.6257757868102862,0.6705874421951501,0.8825505683173442,0.3921571687465008,0.7131457049490842,0.6595685999609281,0.705515169001893
8,0.03436126166397522,0.7435158080432206,0.04309757772156992,0.7165721985652357,0.6324949182687933,0.6657936900890753,0.8815896208912829,0.36374551904637864,0.710110689681864,0.6983797622982024,0.6751428585276484
9,0.03342230045553557,0.7470968053143692,0.044335912675242534,0.7050480492576822,0.6181470472561854,0.6637055385047823,0.8201433572139778,0.36243464859336927,0.7407043259978614,0.688793524007971,0.7064518367107321
10,0.03279743415318854,0.7504983599327435,0.045820289335279735,0.6811006253116968,0.5933608584572696,0.6433282790415196,0.855257754870478,0.34913329211604954,0.6655897716775528,0.6645753132613138,0.6820852632822033
11,0.0322505874258161,0.7526001267951157,0.042657208535487975,0.6898477960639889,0.6011963123747895,0.6451581219796968,0.8464655928784712,0.3348448478936416,0.693637862341598,0.6594217868711241,0.6914205199136494
12,0.03182509333057931,0.7536074588604978,0.0433001474722052,0.7050777803352898,0.6188160901493793,0.6551724292581607,0.8760707316238145,0.3683828654485247,0.6892990863173918,0.6435304262777319,0.6985790366233402
