epoch,train_loss,train_acc,val_loss,val_acc,val_kappa,val_macro_f1,val_f1_W,val_f1_N1,val_f1_N2,val_f1_N3,val_f1_REM
1,0.062371242607744445,0.6517751865184953,0.06888594236949065,0.626876130198915,0.519779596841905,0.5807779907599435,0.7078650541575047,0.272836503238285,0.6871429098985508,0.5841545969333282,0.651890889572049
2,0.04157995314949983,0.754192101006939,0.052844764250052745,0.7232952833031947,0.633206853524722,0.6641991688278652,0.7905031964873561,0.3057600692940667,0.7846202792787866,0.7347613173339315,0.7053509817451854
3,0.03859473421317224,0.7695140084520269,0.05317669305832514,0.6909301537070525,0.5969934572656883,0.6450357549711733,0.774434719183078,0.3312877899106579,0.7520785613950722,0.6588526619892695,0.7085250423777888
4,0.03649852894850648,0.7780619032712475,0.05544857643283634,0.7278104279686558,0.6359852941151936,0.6696292402721108,0.7501975459573897,0.33094787868657216,0.8164006444504204,0.7583056220281568,0.6922945102380147
5,0.03543478599417879,0.7847706996400062,0.06489393380083225,0.6733593279083785,0.5747778284849062,0.612809487517497,0.7666726443102796,0.2726433142027838,0.7097732763827768,0.6668940266525961,0.6480641760390484
6,0.03442629700181704,0.7886862837168049,0.06276090202304058,0.6765163502109705,0.578386674508024,0.6204134821465837,0.6972411168465006,0.29901960784313725,0.7430537735945888,0.6501819632085348,0.7125709492401565
7,0.03327612525925313,0.7947409610267647,0.07228947785273733,0.6407681585292345,0.5295760846035775,0.591891344464581,0.6453363291672518,0.2968464715579742,0.7289632256064481,0.6027210572727585,0.6855896387184731
8,0.032908586905019944,0.7949216100589555,0.06067356430196202,0.6812575346594334,0.5831568028891336,0.627341043985595,0.6872043596730245,0.3196018062397373,0.7548057767052332,0.6468700436161776,0.7282232336938025
9,0.032178623535906344,0.7984948087859342,0.053247075745158884,0.7259531344183243,0.6341773194271716,0.6686458613509073,0.7719633802536287,0.3557981405245386,0.7859109311740891,0.6858256145647014,0.7437312402375788
10,0.031435612241897455,0.8007904210361559,0.054120079954836864,0.6737643158529234,0.5771675357835782,0.6339223054005586,0.775018914643373,0.33953781134790034,0.7378442585998166,0.622569848315807,0.694640694095896
11,0.031383432530707495,0.8021860489382794,0.06892497281444547,0.6566248493068113,0.5506745020602378,0.6056376521445976,0.6885595398492498,0.30919897877772456,0.7327542282749034,0.6110962706588774,0.6865792431622331
12,0.030568819973220716,0.80493752282569,0.055482462706182414,0.699951024713683,0.6081680686566288,0.6486984568510764,0.7672360092434442,0.3473138831788621,0.745426623639401,0.6729490889184327,0.7105666792752424
