latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
65,55,1171020,0.7651,0.6851,0.7113,0.8971,0.4327,0.7938,0.7007,0.7322
66,54,1171020,0.7646,0.6844,0.7106,0.8967,0.4321,0.7933,0.6998,0.7313
67,53,1171020,0.7635,0.6829,0.7094,0.8964,0.4304,0.7922,0.6988,0.7291
68,52,1171020,0.7626,0.6817,0.7082,0.8959,0.4281,0.7913,0.6979,0.7277
69,51,1171020,0.7615,0.6802,0.7069,0.8953,0.4258,0.7902,0.6967,0.7263
70,50,1171020,0.7627,0.6818,0.7080,0.8968,0.4269,0.7916,0.6990,0.7260
71,49,1171020,0.7619,0.6808,0.7071,0.8963,0.4258,0.7909,0.6983,0.7240
72,48,1171020,0.7608,0.6792,0.7056,0.8960,0.4239,0.7897,0.6964,0.7218
73,47,1171020,0.7597,0.6779,0.7044,0.8953,0.4220,0.7887,0.6956,0.7202
74,46,1171020,0.7584,0.6761,0.7028,0.8947,0.4197,0.7874,0.6937,0.7183
75,45,1171020,0.7594,0.6775,0.7037,0.8960,0.4203,0.7884,0.6962,0.7176
76,44,1171020,0.7583,0.6759,0.7023,0.8955,0.4183,0.7875,0.6948,0.7151
77,43,1171020,0.7573,0.6747,0.7011,0.8953,0.4173,0.7864,0.6933,0.7132
78,42,1171020,0.7560,0.6729,0.6995,0.8945,0.4148,0.7853,0.6920,0.7108
79,41,1171020,0.7546,0.6711,0.6978,0.8938,0.4123,0.7838,0.6902,0.7090
80,40,1171020,0.7551,0.6718,0.6982,0.8952,0.4119,0.7844,0.6921,0.7074
81,39,1171020,0.7542,0.6706,0.6970,0.8947,0.4108,0.7834,0.6907,0.7055
82,38,1171020,0.7529,0.6689,0.6954,0.8943,0.4086,0.7821,0.6892,0.7029
83,37,1171020,0.7513,0.6668,0.6935,0.8935,0.4061,0.7807,0.6875,0.6997
84,36,1171020,0.7496,0.6645,0.6914,0.8928,0.4035,0.7789,0.6853,0.6966
85,35,1171020,0.7499,0.6651,0.6916,0.8941,0.4030,0.7791,0.6866,0.6950
86,34,1171020,0.7488,0.6636,0.6902,0.8936,0.4013,0.7782,0.6858,0.6921
87,33,1171020,0.7472,0.6615,0.6882,0.8930,0.3987,0.7766,0.6832,0.6893
88,32,1171020,0.7456,0.6593,0.6863,0.8922,0.3962,0.7751,0.6817,0.6861
89,31,1171020,0.7438,0.6569,0.6840,0.8917,0.3937,0.7729,0.6794,0.6826
90,30,1171020,0.7439,0.6572,0.6840,0.8929,0.3925,0.7731,0.6812,0.6800
91,29,1171020,0.7421,0.6549,0.6817,0.8924,0.3893,0.7713,0.6790,0.6764
92,28,1171020,0.7406,0.6529,0.6798,0.8916,0.3876,0.7699,0.6770,0.6728
93,27,1171020,0.7384,0.6500,0.6772,0.8907,0.3845,0.7676,0.6748,0.6684
94,26,1171020,0.7364,0.6473,0.6747,0.8901,0.3809,0.7652,0.6721,0.6650
95,25,1171020,0.7361,0.6471,0.6742,0.8911,0.3794,0.7649,0.6742,0.6611
96,24,1171020,0.7341,0.6443,0.6714,0.8904,0.3755,0.7628,0.6714,0.6569
97,23,1171020,0.7321,0.6418,0.6690,0.8897,0.3736,0.7606,0.6688,0.6524
98,22,1171020,0.7295,0.6384,0.6657,0.8888,0.3686,0.7577,0.6658,0.6475
99,21,1171020,0.7270,0.6351,0.6627,0.8878,0.3656,0.7549,0.6629,0.6424
100,20,1171020,0.7259,0.6337,0.6610,0.8886,0.3621,0.7537,0.6634,0.6374
101,19,1171020,0.7228,0.6298,0.6575,0.8873,0.3586,0.7503,0.6596,0.6317
102,18,1171020,0.7198,0.6260,0.6542,0.8860,0.3550,0.7472,0.6565,0.6261
103,17,1171020,0.7166,0.6218,0.6506,0.8841,0.3520,0.7439,0.6531,0.6200
104,16,1171020,0.7130,0.6173,0.6468,0.8824,0.3489,0.7398,0.6492,0.6135
105,15,1171020,0.7096,0.6130,0.6425,0.8819,0.3438,0.7360,0.6458,0.6049
106,14,1171020,0.7049,0.6070,0.6373,0.8793,0.3392,0.7309,0.6395,0.5979
107,13,1171020,0.7000,0.6008,0.6321,0.8766,0.3348,0.7257,0.6338,0.5896
108,12,1171020,0.6946,0.5940,0.6266,0.8730,0.3307,0.7201,0.6284,0.5807
109,11,1171020,0.6890,0.5869,0.6198,0.8702,0.3225,0.7136,0.6213,0.5714
110,10,1171020,0.6823,0.5782,0.6120,0.8671,0.3137,0.7060,0.6137,0.5593
111,9,1171020,0.6748,0.5689,0.6038,0.8623,0.3069,0.6983,0.6043,0.5475
112,8,1171020,0.6648,0.5567,0.5933,0.8564,0.2958,0.6868,0.5931,0.5342
113,7,1171020,0.6551,0.5443,0.5823,0.8504,0.2841,0.6754,0.5824,0.5191
114,6,1171020,0.6428,0.5289,0.5684,0.8429,0.2696,0.6599,0.5673,0.5021
115,5,1171020,0.6275,0.5096,0.5520,0.8327,0.2552,0.6422,0.5491,0.4806
116,4,1171020,0.6049,0.4820,0.5294,0.8179,0.2435,0.6125,0.5184,0.4545
117,3,1171020,0.5826,0.4535,0.5063,0.7965,0.2229,0.5889,0.4996,0.4238
118,2,1171020,0.5437,0.4043,0.4674,0.7564,0.2042,0.5483,0.4513,0.3768
119,1,1171020,0.4729,0.3168,0.4069,0.6645,0.1861,0.4930,0.3813,0.3097
