latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
66,174,194923,0.7788,0.7036,0.7337,0.8976,0.4642,0.8049,0.7232,0.7785
67,173,194923,0.7785,0.7032,0.7334,0.8973,0.4629,0.8047,0.7232,0.7790
68,172,194923,0.7793,0.7043,0.7342,0.8978,0.4657,0.8052,0.7235,0.7787
69,171,194923,0.7790,0.7039,0.7338,0.8978,0.4661,0.8047,0.7219,0.7784
70,170,194923,0.7791,0.7040,0.7340,0.8975,0.4661,0.8046,0.7232,0.7787
71,169,194923,0.7788,0.7036,0.7337,0.8975,0.4661,0.8043,0.7235,0.7771
72,168,194923,0.7788,0.7036,0.7336,0.8974,0.4666,0.8049,0.7225,0.7767
73,167,194923,0.7788,0.7036,0.7336,0.8969,0.4657,0.8052,0.7233,0.7767
74,166,194923,0.7783,0.7030,0.7330,0.8970,0.4653,0.8044,0.7219,0.7764
75,165,194923,0.7777,0.7022,0.7323,0.8968,0.4651,0.8033,0.7204,0.7760
76,164,194923,0.7768,0.7009,0.7310,0.8963,0.4630,0.8023,0.7175,0.7758
77,163,194923,0.7763,0.7003,0.7306,0.8959,0.4629,0.8019,0.7175,0.7745
78,162,194923,0.7753,0.6990,0.7295,0.8953,0.4616,0.8007,0.7160,0.7739
79,161,194923,0.7753,0.6989,0.7294,0.8954,0.4621,0.8006,0.7166,0.7723
80,160,194923,0.7740,0.6972,0.7281,0.8943,0.4603,0.7994,0.7152,0.7715
81,159,194923,0.7732,0.6960,0.7270,0.8938,0.4580,0.7985,0.7134,0.7711
82,158,194923,0.7722,0.6948,0.7261,0.8933,0.4565,0.7971,0.7121,0.7713
83,157,194923,0.7713,0.6935,0.7250,0.8928,0.4555,0.7957,0.7103,0.7710
84,156,194923,0.7707,0.6928,0.7243,0.8927,0.4537,0.7951,0.7096,0.7706
85,155,194923,0.7693,0.6909,0.7228,0.8916,0.4510,0.7939,0.7080,0.7694
86,154,194923,0.7688,0.6903,0.7221,0.8915,0.4506,0.7933,0.7064,0.7690
87,153,194923,0.7683,0.6895,0.7213,0.8917,0.4498,0.7924,0.7044,0.7681
88,152,194923,0.7672,0.6881,0.7200,0.8911,0.4484,0.7912,0.7017,0.7674
89,151,194923,0.7674,0.6882,0.7201,0.8914,0.4475,0.7911,0.7031,0.7675
90,150,194923,0.7792,0.7041,0.7328,0.8986,0.4618,0.8055,0.7201,0.7781
91,149,194923,0.7796,0.7047,0.7333,0.8986,0.4630,0.8061,0.7211,0.7778
92,148,194923,0.7795,0.7046,0.7333,0.8986,0.4637,0.8061,0.7208,0.7772
93,147,194923,0.7797,0.7047,0.7336,0.8987,0.4632,0.8063,0.7223,0.7772
94,146,194923,0.7800,0.7052,0.7338,0.8992,0.4645,0.8063,0.7213,0.7776
95,145,194923,0.7800,0.7053,0.7339,0.8989,0.4653,0.8063,0.7217,0.7773
96,144,194923,0.7798,0.7050,0.7336,0.8988,0.4658,0.8061,0.7198,0.7773
97,143,194923,0.7792,0.7042,0.7330,0.8982,0.4637,0.8060,0.7198,0.7771
98,142,194923,0.7800,0.7052,0.7337,0.8985,0.4648,0.8069,0.7215,0.7771
99,141,194923,0.7792,0.7042,0.7329,0.8983,0.4640,0.8057,0.7207,0.7760
100,140,194923,0.7795,0.7044,0.7332,0.8980,0.4654,0.8062,0.7209,0.7756
101,139,194923,0.7789,0.7037,0.7327,0.8983,0.4642,0.8050,0.7219,0.7741
102,138,194923,0.7794,0.7044,0.7331,0.8980,0.4658,0.8063,0.7211,0.7740
103,137,194923,0.7792,0.7040,0.7328,0.8980,0.4651,0.8058,0.7207,0.7742
104,136,194923,0.7793,0.7042,0.7328,0.8982,0.4657,0.8058,0.7204,0.7742
105,135,194923,0.7778,0.7023,0.7314,0.8970,0.4632,0.8040,0.7191,0.7736
106,134,194923,0.7771,0.7013,0.7302,0.8967,0.4622,0.8038,0.7170,0.7711
107,133,194923,0.7763,0.7002,0.7292,0.8964,0.4606,0.8030,0.7151,0.7707
108,132,194923,0.7759,0.6997,0.7289,0.8960,0.4623,0.8022,0.7141,0.7700
109,131,194923,0.7751,0.6987,0.7280,0.8961,0.4604,0.8010,0.7133,0.7691
110,130,194923,0.7740,0.6972,0.7269,0.8949,0.4593,0.7999,0.7121,0.7683
111,129,194923,0.7734,0.6964,0.7261,0.8946,0.4570,0.7994,0.7118,0.7680
112,128,194923,0.7723,0.6949,0.7251,0.8939,0.4559,0.7978,0.7100,0.7677
113,127,194923,0.7715,0.6937,0.7241,0.8936,0.4545,0.7965,0.7087,0.7671
114,126,194923,0.7708,0.6929,0.7232,0.8935,0.4532,0.7956,0.7074,0.7663
115,125,194923,0.7697,0.6913,0.7217,0.8925,0.4498,0.7951,0.7053,0.7657
116,124,194923,0.7693,0.6908,0.7214,0.8921,0.4503,0.7945,0.7039,0.7659
117,123,194923,0.7686,0.6898,0.7204,0.8921,0.4485,0.7934,0.7029,0.7652
118,122,194923,0.7674,0.6882,0.7191,0.8913,0.4468,0.7926,0.7013,0.7635
119,121,194923,0.7672,0.6878,0.7187,0.8918,0.4447,0.7919,0.7024,0.7627
120,120,194923,0.7792,0.7041,0.7317,0.8995,0.4592,0.8064,0.7199,0.7738
121,119,194923,0.7793,0.7042,0.7320,0.8993,0.4614,0.8066,0.7207,0.7723
122,118,194923,0.7799,0.7049,0.7324,0.8996,0.4627,0.8070,0.7200,0.7727
123,117,194923,0.7795,0.7044,0.7320,0.8997,0.4620,0.8066,0.7202,0.7714
124,116,194923,0.7801,0.7052,0.7327,0.8999,0.4648,0.8069,0.7201,0.7720
125,115,194923,0.7794,0.7044,0.7318,0.8998,0.4633,0.8066,0.7192,0.7704
126,114,194923,0.7791,0.7040,0.7314,0.8994,0.4630,0.8062,0.7173,0.7711
127,113,194923,0.7783,0.7029,0.7306,0.8985,0.4606,0.8060,0.7175,0.7703
128,112,194923,0.7793,0.7041,0.7316,0.8995,0.4624,0.8065,0.7192,0.7702
129,111,194923,0.7791,0.7039,0.7314,0.8992,0.4623,0.8064,0.7192,0.7697
130,110,194923,0.7787,0.7034,0.7310,0.8988,0.4635,0.8059,0.7178,0.7690
131,109,194923,0.7778,0.7021,0.7299,0.8986,0.4611,0.8047,0.7173,0.7678
132,108,194923,0.7781,0.7026,0.7301,0.8986,0.4621,0.8055,0.7172,0.7671
133,107,194923,0.7781,0.7025,0.7302,0.8983,0.4627,0.8052,0.7166,0.7680
134,106,194923,0.7779,0.7023,0.7298,0.8984,0.4618,0.8053,0.7163,0.7670
135,105,194923,0.7768,0.7009,0.7287,0.8977,0.4595,0.8040,0.7157,0.7664
136,104,194923,0.7761,0.6998,0.7275,0.8973,0.4589,0.8035,0.7135,0.7641
137,103,194923,0.7754,0.6989,0.7264,0.8968,0.4573,0.8031,0.7117,0.7633
138,102,194923,0.7745,0.6977,0.7257,0.8965,0.4568,0.8016,0.7114,0.7620
139,101,194923,0.7738,0.6967,0.7247,0.8964,0.4554,0.8006,0.7097,0.7616
