latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
97,23,195235,0.7371,0.6485,0.6743,0.8945,0.3780,0.7655,0.6788,0.6549
98,22,195235,0.7357,0.6467,0.6722,0.8939,0.3736,0.7647,0.6780,0.6507
99,21,195235,0.7339,0.6443,0.6701,0.8928,0.3724,0.7625,0.6761,0.6470
100,20,195235,0.7311,0.6408,0.6668,0.8922,0.3692,0.7592,0.6722,0.6412
101,19,195235,0.7286,0.6375,0.6637,0.8916,0.3655,0.7563,0.6698,0.6353
102,18,195235,0.7261,0.6344,0.6609,0.8908,0.3634,0.7539,0.6662,0.6300
103,17,195235,0.7224,0.6296,0.6570,0.8883,0.3583,0.7501,0.6632,0.6251
104,16,195235,0.7188,0.6251,0.6531,0.8867,0.3550,0.7460,0.6598,0.6179
105,15,195235,0.7140,0.6190,0.6476,0.8844,0.3499,0.7409,0.6537,0.6093
106,14,195235,0.7081,0.6113,0.6408,0.8815,0.3428,0.7342,0.6457,0.6000
107,13,195235,0.7032,0.6051,0.6358,0.8784,0.3395,0.7292,0.6395,0.5922
108,12,195235,0.6973,0.5977,0.6298,0.8745,0.3347,0.7234,0.6346,0.5820
109,11,195235,0.6912,0.5898,0.6224,0.8712,0.3261,0.7161,0.6262,0.5725
110,10,195235,0.6850,0.5819,0.6156,0.8680,0.3215,0.7085,0.6179,0.5620
111,9,195235,0.6764,0.5710,0.6064,0.8613,0.3131,0.6999,0.6087,0.5492
112,8,195235,0.6659,0.5581,0.5951,0.8554,0.2994,0.6880,0.5973,0.5354
113,7,195235,0.6549,0.5440,0.5826,0.8489,0.2867,0.6749,0.5833,0.5193
114,6,195235,0.6423,0.5283,0.5682,0.8411,0.2709,0.6599,0.5673,0.5019
115,5,195235,0.6268,0.5088,0.5525,0.8295,0.2616,0.6413,0.5480,0.4823
116,4,195235,0.6035,0.4802,0.5287,0.8145,0.2451,0.6111,0.5174,0.4555
117,3,195235,0.5814,0.4519,0.5061,0.7928,0.2259,0.5884,0.4989,0.4242
118,2,195235,0.5415,0.4015,0.4663,0.7522,0.2090,0.5458,0.4483,0.3763
119,1,195235,0.4693,0.3125,0.4043,0.6601,0.1867,0.4876,0.3789,0.3080
