latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,360,194611,0.7627,0.6825,0.7196,0.8915,0.4376,0.7872,0.7176,0.7639
1,359,194611,0.7632,0.6832,0.7205,0.8919,0.4389,0.7873,0.7200,0.7645
2,358,194611,0.7635,0.6836,0.7207,0.8920,0.4389,0.7878,0.7200,0.7649
3,357,194611,0.7639,0.6841,0.7212,0.8920,0.4403,0.7884,0.7209,0.7644
4,356,194611,0.7639,0.6842,0.7214,0.8923,0.4418,0.7882,0.7216,0.7630
5,355,194611,0.7637,0.6839,0.7211,0.8924,0.4422,0.7873,0.7200,0.7635
6,354,194611,0.7638,0.6841,0.7213,0.8919,0.4422,0.7882,0.7211,0.7631
7,353,194611,0.7641,0.6845,0.7216,0.8923,0.4427,0.7879,0.7210,0.7640
8,352,194611,0.7646,0.6850,0.7218,0.8926,0.4428,0.7886,0.7217,0.7634
9,351,194611,0.7639,0.6841,0.7212,0.8922,0.4423,0.7877,0.7209,0.7627
10,350,194611,0.7641,0.6844,0.7215,0.8923,0.4439,0.7879,0.7206,0.7628
11,349,194611,0.7640,0.6842,0.7214,0.8918,0.4444,0.7877,0.7213,0.7619
12,348,194611,0.7639,0.6841,0.7212,0.8921,0.4445,0.7876,0.7205,0.7613
13,347,194611,0.7639,0.6841,0.7210,0.8921,0.4446,0.7878,0.7192,0.7613
14,346,194611,0.7636,0.6837,0.7208,0.8921,0.4455,0.7868,0.7182,0.7612
15,345,194611,0.7630,0.6829,0.7201,0.8915,0.4434,0.7863,0.7179,0.7614
16,344,194611,0.7626,0.6824,0.7197,0.8914,0.4438,0.7857,0.7178,0.7598
17,343,194611,0.7617,0.6812,0.7186,0.8909,0.4424,0.7847,0.7143,0.7609
18,342,194611,0.7614,0.6808,0.7182,0.8905,0.4423,0.7845,0.7135,0.7602
19,341,194611,0.7608,0.6800,0.7178,0.8907,0.4434,0.7828,0.7128,0.7592
20,340,194611,0.7603,0.6793,0.7171,0.8903,0.4419,0.7825,0.7126,0.7581
21,339,194611,0.7601,0.6790,0.7168,0.8899,0.4416,0.7825,0.7120,0.7581
22,338,194611,0.7592,0.6778,0.7159,0.8892,0.4406,0.7814,0.7100,0.7584
23,337,194611,0.7580,0.6762,0.7144,0.8886,0.4386,0.7800,0.7082,0.7567
24,336,194611,0.7572,0.6752,0.7139,0.8880,0.4373,0.7792,0.7088,0.7559
25,335,194611,0.7567,0.6745,0.7130,0.8880,0.4377,0.7783,0.7058,0.7554
26,334,194611,0.7557,0.6731,0.7117,0.8873,0.4343,0.7776,0.7038,0.7555
27,333,194611,0.7552,0.6725,0.7112,0.8873,0.4341,0.7766,0.7035,0.7548
28,332,194611,0.7544,0.6715,0.7104,0.8863,0.4326,0.7762,0.7017,0.7553
29,331,194611,0.7544,0.6714,0.7104,0.8865,0.4330,0.7760,0.7021,0.7543
30,330,194611,0.7660,0.6869,0.7231,0.8923,0.4432,0.7908,0.7207,0.7685
31,329,194611,0.7662,0.6872,0.7234,0.8928,0.4436,0.7909,0.7211,0.7685
32,328,194611,0.7664,0.6875,0.7235,0.8928,0.4432,0.7914,0.7217,0.7682
33,327,194611,0.7664,0.6875,0.7236,0.8927,0.4442,0.7912,0.7219,0.7683
