latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
66,54,147397,0.7718,0.6829,0.7176,0.7850,0.3823,0.8312,0.8384,0.7510
67,53,147397,0.7712,0.6820,0.7165,0.7833,0.3787,0.8309,0.8393,0.7502
68,52,147397,0.7696,0.6797,0.7144,0.7820,0.3735,0.8296,0.8384,0.7486
69,51,147397,0.7684,0.6781,0.7128,0.7802,0.3702,0.8290,0.8370,0.7474
70,50,147397,0.7710,0.6818,0.7165,0.7867,0.3790,0.8310,0.8382,0.7478
71,49,147397,0.7689,0.6789,0.7143,0.7851,0.3756,0.8293,0.8361,0.7453
72,48,147397,0.7681,0.6778,0.7129,0.7827,0.3713,0.8290,0.8368,0.7445
73,47,147397,0.7666,0.6758,0.7111,0.7820,0.3660,0.8275,0.8365,0.7437
74,46,147397,0.7648,0.6732,0.7085,0.7778,0.3616,0.8269,0.8348,0.7414
75,45,147397,0.7669,0.6763,0.7120,0.7850,0.3705,0.8283,0.8347,0.7416
76,44,147397,0.7654,0.6744,0.7104,0.7840,0.3668,0.8272,0.8344,0.7396
77,43,147397,0.7645,0.6731,0.7088,0.7815,0.3624,0.8266,0.8341,0.7393
78,42,147397,0.7626,0.6705,0.7065,0.7788,0.3576,0.8255,0.8335,0.7372
79,41,147397,0.7606,0.6678,0.7040,0.7756,0.3526,0.8238,0.8319,0.7362
80,40,147397,0.7630,0.6712,0.7077,0.7836,0.3620,0.8257,0.8323,0.7347
81,39,147397,0.7613,0.6689,0.7059,0.7822,0.3588,0.8244,0.8313,0.7330
82,38,147397,0.7602,0.6675,0.7046,0.7807,0.3551,0.8237,0.8315,0.7317
83,37,147397,0.7581,0.6647,0.7022,0.7784,0.3495,0.8218,0.8318,0.7296
84,36,147397,0.7554,0.6611,0.6991,0.7734,0.3457,0.8197,0.8288,0.7280
85,35,147397,0.7580,0.6647,0.7030,0.7830,0.3535,0.8214,0.8292,0.7278
86,34,147397,0.7567,0.6630,0.7020,0.7817,0.3531,0.8205,0.8291,0.7254
87,33,147397,0.7538,0.6591,0.6983,0.7787,0.3447,0.8184,0.8275,0.7224
88,32,147397,0.7525,0.6573,0.6967,0.7774,0.3396,0.8171,0.8273,0.7220
89,31,147397,0.7489,0.6525,0.6926,0.7723,0.3325,0.8145,0.8243,0.7192
90,30,147397,0.7513,0.6559,0.6967,0.7810,0.3440,0.8162,0.8243,0.7181
91,29,147397,0.7492,0.6531,0.6943,0.7776,0.3395,0.8146,0.8242,0.7156
92,28,147397,0.7461,0.6489,0.6906,0.7734,0.3321,0.8125,0.8232,0.7118
93,27,147397,0.7428,0.6445,0.6874,0.7719,0.3252,0.8095,0.8206,0.7095
94,26,147397,0.7404,0.6412,0.6847,0.7682,0.3214,0.8077,0.8188,0.7072
95,25,147397,0.7405,0.6417,0.6864,0.7746,0.3267,0.8077,0.8178,0.7051
96,24,147397,0.7375,0.6375,0.6830,0.7717,0.3204,0.8056,0.8166,0.7009
97,23,147397,0.7338,0.6327,0.6792,0.7665,0.3143,0.8027,0.8158,0.6968
98,22,147397,0.7305,0.6283,0.6762,0.7654,0.3081,0.7996,0.8142,0.6938
99,21,147397,0.7264,0.6227,0.6719,0.7595,0.3021,0.7970,0.8106,0.6904
100,20,147397,0.7253,0.6216,0.6717,0.7625,0.3041,0.7962,0.8096,0.6861
101,19,147397,0.7204,0.6150,0.6678,0.7604,0.3015,0.7922,0.8061,0.6788
102,18,147397,0.7180,0.6119,0.6648,0.7545,0.2972,0.7907,0.8058,0.6756
103,17,147397,0.7131,0.6053,0.6605,0.7507,0.2920,0.7857,0.8026,0.6715
104,16,147397,0.7077,0.5985,0.6551,0.7445,0.2837,0.7813,0.8003,0.6656
105,15,147397,0.7025,0.5920,0.6512,0.7465,0.2800,0.7766,0.7941,0.6590
106,14,147397,0.6992,0.5874,0.6472,0.7398,0.2760,0.7739,0.7922,0.6542
107,13,147397,0.6928,0.5792,0.6416,0.7333,0.2717,0.7684,0.7873,0.6472
108,12,147397,0.6857,0.5707,0.6352,0.7313,0.2630,0.7596,0.7800,0.6422
109,11,147397,0.6757,0.5580,0.6268,0.7230,0.2556,0.7502,0.7731,0.6322
110,10,147397,0.6699,0.5505,0.6210,0.7203,0.2503,0.7448,0.7652,0.6246
111,9,147397,0.6580,0.5355,0.6112,0.7084,0.2453,0.7334,0.7550,0.6140
112,8,147397,0.6501,0.5262,0.6023,0.7015,0.2388,0.7213,0.7472,0.6027
113,7,147397,0.6367,0.5089,0.5912,0.6885,0.2363,0.7089,0.7334,0.5887
114,6,147397,0.6207,0.4889,0.5759,0.6741,0.2302,0.6929,0.7173,0.5650
115,5,147397,0.6007,0.4628,0.5578,0.6558,0.2174,0.6745,0.6988,0.5425
116,4,147397,0.5823,0.4406,0.5392,0.6342,0.2125,0.6483,0.6751,0.5261
117,3,147397,0.5525,0.4019,0.5125,0.6041,0.2037,0.6209,0.6435,0.4901
118,2,147397,0.5100,0.3523,0.4690,0.5544,0.1875,0.5637,0.5933,0.4459
119,1,147397,0.4247,0.2524,0.3931,0.4627,0.1711,0.4709,0.5028,0.3580
