latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
84,36,195235,0.7707,0.6934,0.7158,0.9141,0.4510,0.7811,0.6849,0.7481
85,35,195235,0.7702,0.6927,0.7153,0.9138,0.4509,0.7803,0.6838,0.7475
86,34,195235,0.7698,0.6921,0.7148,0.9134,0.4502,0.7798,0.6832,0.7475
87,33,195235,0.7695,0.6918,0.7145,0.9131,0.4506,0.7797,0.6816,0.7473
88,32,195235,0.7689,0.6909,0.7137,0.9127,0.4477,0.7791,0.6811,0.7476
89,31,195235,0.7686,0.6906,0.7134,0.9124,0.4482,0.7787,0.6806,0.7472
90,30,195235,0.7538,0.6707,0.6962,0.9061,0.4074,0.7637,0.6712,0.7330
91,29,195235,0.7546,0.6719,0.6972,0.9070,0.4095,0.7644,0.6723,0.7326
92,28,195235,0.7548,0.6722,0.6977,0.9070,0.4099,0.7645,0.6740,0.7328
93,27,195235,0.7556,0.6732,0.6983,0.9078,0.4117,0.7655,0.6743,0.7323
94,26,195235,0.7560,0.6738,0.6990,0.9081,0.4125,0.7658,0.6751,0.7333
95,25,195235,0.7567,0.6748,0.6999,0.9083,0.4148,0.7665,0.6761,0.7339
96,24,195235,0.7573,0.6755,0.7004,0.9086,0.4163,0.7673,0.6761,0.7337
97,23,195235,0.7581,0.6765,0.7015,0.9092,0.4188,0.7677,0.6781,0.7336
98,22,195235,0.7585,0.6770,0.7018,0.9094,0.4198,0.7681,0.6778,0.7343
99,21,195235,0.7589,0.6776,0.7025,0.9101,0.4216,0.7681,0.6785,0.7341
100,20,195235,0.7596,0.6785,0.7032,0.9102,0.4220,0.7689,0.6792,0.7356
101,19,195235,0.7599,0.6790,0.7037,0.9107,0.4243,0.7687,0.6797,0.7352
102,18,195235,0.7600,0.6791,0.7036,0.9104,0.4233,0.7694,0.6792,0.7357
103,17,195235,0.7603,0.6796,0.7043,0.9110,0.4244,0.7693,0.6809,0.7357
104,16,195235,0.7604,0.6797,0.7042,0.9105,0.4244,0.7699,0.6805,0.7358
105,15,195235,0.7602,0.6795,0.7041,0.9106,0.4244,0.7698,0.6804,0.7352
106,14,195235,0.7607,0.6802,0.7046,0.9109,0.4246,0.7702,0.6814,0.7360
107,13,195235,0.7608,0.6802,0.7045,0.9113,0.4242,0.7705,0.6814,0.7354
108,12,195235,0.7609,0.6802,0.7046,0.9109,0.4231,0.7708,0.6822,0.7361
109,11,195235,0.7606,0.6798,0.7044,0.9103,0.4238,0.7709,0.6818,0.7352
110,10,195235,0.7609,0.6802,0.7049,0.9102,0.4229,0.7718,0.6839,0.7356
111,9,195235,0.7607,0.6799,0.7045,0.9098,0.4227,0.7715,0.6831,0.7354
112,8,195235,0.7590,0.6781,0.7036,0.9100,0.4239,0.7680,0.6808,0.7355
113,7,195235,0.7589,0.6779,0.7037,0.9101,0.4245,0.7676,0.6811,0.7353
114,6,195235,0.7591,0.6781,0.7036,0.9101,0.4232,0.7684,0.6811,0.7354
115,5,195235,0.7584,0.6772,0.7027,0.9092,0.4207,0.7684,0.6806,0.7347
116,4,195235,0.7582,0.6768,0.7015,0.9095,0.4187,0.7677,0.6759,0.7355
117,3,195235,0.7580,0.6765,0.7014,0.9087,0.4179,0.7683,0.6769,0.7351
118,2,195235,0.7578,0.6762,0.7010,0.9086,0.4147,0.7687,0.6772,0.7358
119,1,195235,0.7562,0.6742,0.7001,0.9074,0.4137,0.7674,0.6784,0.7335
