latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
83,37,147397,0.7784,0.6939,0.7261,0.7871,0.3651,0.8298,0.8259,0.8228
84,36,147397,0.7783,0.6938,0.7261,0.7866,0.3647,0.8297,0.8263,0.8230
85,35,147397,0.7758,0.6902,0.7228,0.7828,0.3572,0.8280,0.8243,0.8216
86,34,147397,0.7758,0.6903,0.7230,0.7844,0.3588,0.8280,0.8231,0.8208
87,33,147397,0.7764,0.6911,0.7235,0.7836,0.3595,0.8287,0.8245,0.8213
88,32,147397,0.7760,0.6906,0.7232,0.7842,0.3587,0.8279,0.8237,0.8216
89,31,147397,0.7757,0.6902,0.7230,0.7843,0.3577,0.8278,0.8245,0.8208
90,30,147397,0.7735,0.6870,0.7201,0.7807,0.3512,0.8262,0.8228,0.8194
91,29,147397,0.7733,0.6869,0.7202,0.7823,0.3515,0.8259,0.8224,0.8191
92,28,147397,0.7736,0.6872,0.7205,0.7812,0.3532,0.8261,0.8222,0.8198
93,27,147397,0.7735,0.6872,0.7208,0.7828,0.3535,0.8254,0.8224,0.8197
94,26,147397,0.7732,0.6867,0.7204,0.7825,0.3519,0.8255,0.8228,0.8192
95,25,147397,0.7705,0.6831,0.7172,0.7794,0.3436,0.8233,0.8219,0.8177
96,24,147397,0.7702,0.6828,0.7169,0.7789,0.3435,0.8231,0.8211,0.8178
97,23,147397,0.7704,0.6831,0.7173,0.7789,0.3451,0.8234,0.8211,0.8179
98,22,147397,0.7702,0.6828,0.7176,0.7809,0.3458,0.8222,0.8211,0.8180
99,21,147397,0.7696,0.6821,0.7167,0.7795,0.3428,0.8222,0.8211,0.8180
100,20,147397,0.7660,0.6771,0.7123,0.7753,0.3320,0.8192,0.8193,0.8158
101,19,147397,0.7655,0.6764,0.7118,0.7748,0.3310,0.8187,0.8179,0.8166
102,18,147397,0.7654,0.6764,0.7123,0.7757,0.3335,0.8184,0.8178,0.8161
103,17,147397,0.7652,0.6762,0.7124,0.7772,0.3324,0.8177,0.8182,0.8163
104,16,147397,0.7650,0.6761,0.7123,0.7773,0.3311,0.8175,0.8187,0.8168
105,15,147397,0.7599,0.6690,0.7061,0.7703,0.3161,0.8135,0.8164,0.8140
106,14,147397,0.7586,0.6677,0.7056,0.7698,0.3152,0.8122,0.8162,0.8144
107,13,147397,0.7584,0.6674,0.7056,0.7707,0.3149,0.8120,0.8166,0.8138
108,12,147397,0.7561,0.6649,0.7049,0.7732,0.3115,0.8093,0.8179,0.8127
109,11,147397,0.7549,0.6637,0.7048,0.7732,0.3113,0.8078,0.8187,0.8131
110,10,147397,0.7483,0.6546,0.6970,0.7626,0.2940,0.8029,0.8158,0.8100
111,9,147397,0.7500,0.6566,0.6977,0.7626,0.2943,0.8049,0.8161,0.8107
112,8,147397,0.7504,0.6564,0.6964,0.7582,0.2917,0.8072,0.8156,0.8095
113,7,147397,0.7495,0.6554,0.6959,0.7575,0.2906,0.8063,0.8156,0.8096
114,6,147397,0.7485,0.6543,0.6955,0.7583,0.2888,0.8057,0.8155,0.8092
115,5,147397,0.7418,0.6452,0.6878,0.7494,0.2718,0.8001,0.8120,0.8054
116,4,147397,0.7403,0.6435,0.6868,0.7494,0.2716,0.7969,0.8094,0.8066
117,3,147397,0.7382,0.6412,0.6859,0.7487,0.2708,0.7946,0.8088,0.8067
118,2,147397,0.7357,0.6384,0.6847,0.7475,0.2676,0.7925,0.8084,0.8074
119,1,147397,0.7435,0.6469,0.6865,0.7456,0.2670,0.8016,0.8088,0.8092
