latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
65,55,1171020,0.7706,0.6932,0.7159,0.9138,0.4502,0.7809,0.6857,0.7487
66,54,1171020,0.7706,0.6933,0.7159,0.9139,0.4506,0.7809,0.6856,0.7488
67,53,1171020,0.7707,0.6934,0.7160,0.9139,0.4511,0.7809,0.6851,0.7489
68,52,1171020,0.7709,0.6937,0.7162,0.9140,0.4514,0.7812,0.6855,0.7490
69,51,1171020,0.7710,0.6938,0.7163,0.9140,0.4517,0.7813,0.6858,0.7488
70,50,1171020,0.7694,0.6916,0.7145,0.9134,0.4474,0.7796,0.6847,0.7474
71,49,1171020,0.7697,0.6920,0.7148,0.9136,0.4484,0.7798,0.6848,0.7473
72,48,1171020,0.7698,0.6921,0.7149,0.9136,0.4485,0.7799,0.6849,0.7475
73,47,1171020,0.7700,0.6924,0.7151,0.9137,0.4490,0.7802,0.6852,0.7477
74,46,1171020,0.7700,0.6925,0.7152,0.9137,0.4498,0.7802,0.6847,0.7477
75,45,1171020,0.7682,0.6900,0.7130,0.9130,0.4445,0.7783,0.6836,0.7456
76,44,1171020,0.7685,0.6905,0.7134,0.9132,0.4457,0.7785,0.6836,0.7461
77,43,1171020,0.7688,0.6909,0.7138,0.9134,0.4465,0.7788,0.6842,0.7461
78,42,1171020,0.7689,0.6910,0.7139,0.9133,0.4466,0.7790,0.6843,0.7462
79,41,1171020,0.7689,0.6910,0.7139,0.9134,0.4473,0.7788,0.6839,0.7461
80,40,1171020,0.7670,0.6884,0.7116,0.9127,0.4418,0.7769,0.6826,0.7441
81,39,1171020,0.7670,0.6885,0.7117,0.9127,0.4420,0.7768,0.6829,0.7443
82,38,1171020,0.7674,0.6890,0.7121,0.9130,0.4432,0.7771,0.6829,0.7445
83,37,1171020,0.7675,0.6891,0.7123,0.9129,0.4432,0.7774,0.6833,0.7445
84,36,1171020,0.7674,0.6890,0.7122,0.9130,0.4434,0.7772,0.6830,0.7444
85,35,1171020,0.7654,0.6863,0.7098,0.9121,0.4381,0.7752,0.6817,0.7421
86,34,1171020,0.7657,0.6868,0.7103,0.9123,0.4387,0.7755,0.6824,0.7425
87,33,1171020,0.7658,0.6868,0.7103,0.9124,0.4392,0.7755,0.6819,0.7422
88,32,1171020,0.7658,0.6869,0.7104,0.9124,0.4392,0.7756,0.6823,0.7423
89,31,1171020,0.7659,0.6870,0.7105,0.9125,0.4396,0.7757,0.6820,0.7426
90,30,1171020,0.7637,0.6840,0.7079,0.9114,0.4336,0.7735,0.6807,0.7403
91,29,1171020,0.7638,0.6842,0.7081,0.9116,0.4346,0.7734,0.6808,0.7403
92,28,1171020,0.7639,0.6843,0.7082,0.9116,0.4345,0.7736,0.6809,0.7403
93,27,1171020,0.7640,0.6844,0.7082,0.9117,0.4346,0.7737,0.6809,0.7403
94,26,1171020,0.7641,0.6845,0.7083,0.9117,0.4351,0.7737,0.6807,0.7405
95,25,1171020,0.7615,0.6811,0.7053,0.9105,0.4281,0.7713,0.6790,0.7377
96,24,1171020,0.7618,0.6815,0.7057,0.9107,0.4292,0.7714,0.6794,0.7379
97,23,1171020,0.7619,0.6816,0.7058,0.9107,0.4290,0.7717,0.6797,0.7379
98,22,1171020,0.7619,0.6816,0.7058,0.9107,0.4294,0.7717,0.6795,0.7379
99,21,1171020,0.7619,0.6816,0.7058,0.9110,0.4296,0.7714,0.6793,0.7380
100,20,1171020,0.7590,0.6778,0.7025,0.9095,0.4222,0.7688,0.6770,0.7350
101,19,1171020,0.7592,0.6780,0.7027,0.9096,0.4228,0.7688,0.6772,0.7351
102,18,1171020,0.7593,0.6782,0.7028,0.9098,0.4231,0.7690,0.6773,0.7350
103,17,1171020,0.7593,0.6783,0.7029,0.9098,0.4232,0.7689,0.6775,0.7354
104,16,1171020,0.7593,0.6782,0.7029,0.9099,0.4233,0.7688,0.6772,0.7354
105,15,1171020,0.7560,0.6738,0.6992,0.9081,0.4154,0.7657,0.6746,0.7320
106,14,1171020,0.7563,0.6743,0.6996,0.9084,0.4157,0.7660,0.6755,0.7322
107,13,1171020,0.7566,0.6746,0.6999,0.9084,0.4159,0.7665,0.6763,0.7322
108,12,1171020,0.7570,0.6751,0.7002,0.9085,0.4157,0.7672,0.6772,0.7327
109,11,1171020,0.7569,0.6749,0.7002,0.9083,0.4158,0.7673,0.6774,0.7321
110,10,1171020,0.7535,0.6703,0.6963,0.9064,0.4062,0.7645,0.6756,0.7288
111,9,1171020,0.7536,0.6703,0.6963,0.9063,0.4062,0.7645,0.6754,0.7290
112,8,1171020,0.7518,0.6685,0.6953,0.9063,0.4081,0.7609,0.6726,0.7288
113,7,1171020,0.7518,0.6684,0.6954,0.9063,0.4078,0.7610,0.6735,0.7284
114,6,1171020,0.7523,0.6691,0.6960,0.9063,0.4079,0.7622,0.6747,0.7286
115,5,1171020,0.7481,0.6634,0.6910,0.9040,0.3972,0.7582,0.6707,0.7250
116,4,1171020,0.7480,0.6631,0.6898,0.9040,0.3956,0.7578,0.6660,0.7255
117,3,1171020,0.7485,0.6638,0.6905,0.9039,0.3963,0.7587,0.6677,0.7256
118,2,1171020,0.7484,0.6636,0.6903,0.9037,0.3943,0.7593,0.6683,0.7260
119,1,1171020,0.7472,0.6621,0.6897,0.9027,0.3939,0.7584,0.6689,0.7247
