epoch,train_loss,train_acc,val_loss,val_acc,val_kappa,val_macro_f1,val_f1_W,val_f1_N1,val_f1_N2,val_f1_N3,val_f1_REM
1,0.06007666507069593,0.6617163736914873,0.05502048363628472,0.74547382709765,0.6625927384762764,0.6493699551971762,0.8166691747977565,0.21026110856619332,0.7970203378562147,0.8257725481236077,0.597126606642109
2,0.045459643870580345,0.7346382250312726,0.04295067456376673,0.7487125646899127,0.6752518971966186,0.6977262987966371,0.8782996618645753,0.3517512077294686,0.757574779358121,0.8044833828755336,0.6965224621554865
3,0.04231005403485996,0.7498946606096517,0.04652956315066422,0.7520764401459235,0.6755744477085035,0.6738919206405735,0.8582557198684732,0.23771912926218455,0.7858977804724074,0.8298904257230106,0.6576965478767914
4,0.04028526137665918,0.7586457304628349,0.04221914044934422,0.785505217612624,0.7161266457600995,0.7074086010192011,0.89557591396675,0.2815537399633751,0.8080379803529306,0.8299853896982341,0.721889981114716
5,0.0389597277435688,0.7612686812825071,0.04136097120067432,0.7669911767201154,0.6951168179388671,0.6958303826970333,0.8797702202204427,0.29278831209201117,0.7862334371040157,0.8263138826619568,0.6940460614067403
6,0.03774961457848431,0.7662163407729278,0.05253081615594922,0.727258844489692,0.6444656336635703,0.6545410050082969,0.8087010595881141,0.2795110381317278,0.7538312709885249,0.8079913558793388,0.6226703004537791
7,0.036779777633562265,0.7692435315030615,0.043721352410356955,0.7697675405107322,0.6975201297058812,0.683864678272595,0.8677979342071,0.2391806770290479,0.7754752930588225,0.8281853504433145,0.7086841366246895
8,0.03666164727269744,0.7704733688853775,0.048130834121646995,0.7574700941715449,0.6829422654103565,0.6737379621108566,0.874934639804908,0.23646032560526192,0.7419136430391422,0.777804046421948,0.7375771556830226
9,0.035810273536816664,0.7728909078938706,0.06313803182294939,0.733674811232714,0.6466474818934234,0.6300068329088125,0.7519437876620441,0.15287887214954174,0.7949072240191385,0.8454288235115154,0.6048754572018227
10,0.034910069011797815,0.7755889130291659,0.04825852205108692,0.7331233562399253,0.6535381531235069,0.6616977943534212,0.8457680675685979,0.2539664174247574,0.750677065701414,0.8002188423241055,0.6578585787482317
11,0.03420985157132655,0.7803535453288564,0.06082379427040944,0.7151904640705863,0.6290356919152902,0.6317761934442989,0.7735676298460998,0.16945046999276933,0.7364403885939247,0.8348769053937763,0.6445455733949238
12,0.03379863711545266,0.7805122127855685,0.04688812203012686,0.7398447442097226,0.6639474951995904,0.6794209718557449,0.8541706284034921,0.28811173955760905,0.7456405202604609,0.8197672077006726,0.6894147633564895
