fold,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,0.8304,0.7026,0.6887,0.9333,0.2886,0.8049,0.7658,0.6509
1,0.8737,0.7649,0.6982,0.9757,0.2981,0.7350,0.7746,0.7074
2,0.7528,0.5797,0.5663,0.8859,0.2108,0.6906,0.5466,0.4977
3,0.7338,0.5457,0.5523,0.9000,0.2069,0.5794,0.5529,0.5220
4,0.8411,0.6991,0.6556,0.9533,0.2359,0.7127,0.8049,0.5710
