epoch,train_loss,train_acc,val_loss,val_acc,val_kappa,val_macro_f1,val_f1_W,val_f1_N1,val_f1_N2,val_f1_N3,val_f1_REM
1,0.04915596985839443,0.6949400148756295,0.0393365856566767,0.7386210619918699,0.6522613375063097,0.6623222935304631,0.9289755061385986,0.33134048836706764,0.7236368313681304,0.6754066953669309,0.6522519464115883
2,0.037363948425706284,0.74807525251665,0.03166353964669778,0.7839821065621371,0.7092875775723375,0.7216183032215212,0.923948474568445,0.43343043249585306,0.7977703830858806,0.6614671908328917,0.7914750351245354
3,0.03506581261975489,0.7571323533586559,0.03758272835853504,0.7391958841463414,0.653223098487344,0.6640943989673109,0.9194957396614297,0.3682024989893278,0.6976930721650393,0.5663134529503475,0.7687672310704105
4,0.03322054300301842,0.7648950757124121,0.03220355747532682,0.8059433072009291,0.734935919703358,0.7555972833958069,0.9259573793754209,0.45886453741562966,0.8356030515689712,0.764688555569582,0.7928728930494304
5,0.032057430880129106,0.7705864234330909,0.03390246275003159,0.7648582680023229,0.6859972121133006,0.6906076994257475,0.934720587710852,0.4102819644348795,0.7430374659087906,0.5747354041191743,0.7902630749550418
6,0.03124786199974773,0.774188795585004,0.03248701080498274,0.7607805240998838,0.6819617919974965,0.6897611110487931,0.9372633331411642,0.42272832907273994,0.7389914678923317,0.5769930955609215,0.7728293295768084
7,0.03050349672843862,0.776445547814929,0.03094929506243101,0.7738417356271777,0.6982315540736822,0.7119810829023309,0.936493977395334,0.46280553822917686,0.7569746304149495,0.5932364030485766,0.8103948654236173
8,0.029892836582723317,0.7797542398382985,0.03104963062975725,0.7892711962833914,0.7161971381907231,0.7293331073161032,0.9332609713107816,0.44530569510553497,0.7969516796907756,0.7391677756070859,0.7319794148663382
9,0.029427960000287655,0.7810283204732948,0.03612379045815362,0.7285546421312428,0.6442734392249705,0.6681991400651078,0.9327466882556394,0.40674615381460383,0.6611205349004632,0.6427525433848831,0.6976297799699495
10,0.02869783023068953,0.7850455921011543,0.030102841101946002,0.8011609864982578,0.7305287781621829,0.7448739541306255,0.9345906272749873,0.45955355721788954,0.8035431661485104,0.7344059757000804,0.79227644431166
11,0.028273930106020848,0.7872112169059826,0.02862839719958456,0.7696342370789779,0.6954854561466182,0.7199684674013281,0.9344434431744623,0.4897454468370754,0.7424374397424875,0.6157805696269453,0.8174354376256704
12,0.027925785803883846,0.7879823933865904,0.028732909699133273,0.7716676647793264,0.6975954680093368,0.7195093573687514,0.9359182314650196,0.476631475642758,0.7454131325632274,0.6314251520893587,0.8081587950833936
