epoch,train_loss,train_acc,val_loss,val_acc,val_kappa,val_macro_f1,val_f1_W,val_f1_N1,val_f1_N2,val_f1_N3,val_f1_REM
1,0.04645188427151312,0.7001243155417556,0.04116755352512626,0.7383200566049736,0.6528261788512879,0.6739884554859091,0.8687366196809082,0.32871963488246553,0.7754935494445139,0.7093157552528917,0.6876767181687663
2,0.03496819569559204,0.759207011396555,0.03856230053825761,0.7502575844304522,0.6686991926516408,0.7003841256377203,0.8692616148243247,0.3910779550793376,0.7912359484317271,0.7222593030859071,0.7280858067673048
3,0.0327665777292968,0.768151803731779,0.03932802869657193,0.7371466164218025,0.6530323511861799,0.6697602382488412,0.882584062153719,0.34923262914165115,0.7509025870328968,0.6474833023983163,0.718598610517623
4,0.03151983930713578,0.7715470635512613,0.035963543262840895,0.7441439292755836,0.6636576013338245,0.6977013299403018,0.8781996261719937,0.41639652140627054,0.7681890882785635,0.6749423931849392,0.750779020659742
5,0.030400731832726784,0.774640063140731,0.03661342434942448,0.74671778604592,0.6660399267886901,0.6894254541479107,0.9178901557807808,0.42343964058856504,0.7200795177510929,0.6143768900557837,0.7713410665633308
6,0.029295569489659452,0.7793214106055613,0.037487210520447026,0.7449166825669401,0.6646884433853795,0.7042821660065633,0.8910118484799019,0.42825668113978077,0.7631139857273043,0.6897051784138166,0.7493231362720132
7,0.028309984126023945,0.7839134243438741,0.033610192584035574,0.7538593938815747,0.6759592417931309,0.6980819334051526,0.9040842286163925,0.41186317474296336,0.7445511420526708,0.6720560444018079,0.757855077211928
8,0.028152506644063487,0.7843086321242924,0.033807590528883706,0.7704374165235642,0.6944103709440728,0.7131558470670031,0.9075350817978115,0.4244709503655252,0.7780754172676695,0.6677215851925955,0.7879762007114139
9,0.027398696491744305,0.7866736630297143,0.03509185609407812,0.7539273675507219,0.6755521316104753,0.7054073163323377,0.8961424005155391,0.43473198294471743,0.7625628221920242,0.650700994699348,0.78289838131006
10,0.026923995188788824,0.7888684105535222,0.03546555567898572,0.7628891591935382,0.6866040078749729,0.7259385083227875,0.8903040839887707,0.43377197432318676,0.7814532269723683,0.7391765299690637,0.784986726360548
11,0.026628539277842152,0.7898445766622144,0.03317541307930978,0.7723120587674108,0.6977170353550061,0.7228995566262761,0.9159896308180846,0.4455231549825418,0.7724851778240716,0.6939189285663292,0.7865808909403533
12,0.025815914703743746,0.7940338658664216,0.034192175345028525,0.7593696336576989,0.6829446307905465,0.7121704020399353,0.9087148021716553,0.4468897278060979,0.7546125924467518,0.6656056627295842,0.7850292250455869
13,0.025558331345406162,0.7952640115179795,0.032850914287295224,0.7657933441455193,0.6903026972833965,0.7166434343484847,0.9140541662873968,0.44616612624700286,0.7566100693659226,0.6711578315409082,0.7952289783011928
14,0.02522623946714759,0.7954386314882594,0.032672591887978115,0.7785922692870317,0.7052234983766705,0.7280091170690439,0.9175451099694008,0.439300986802577,0.7760891891142656,0.7083740234375,0.7987362760214763
15,0.024773468535288338,0.7973575719729166,0.03525099417226177,0.7455141353431279,0.6661956746747606,0.6941747325660168,0.9151053135343213,0.44191238312987385,0.7124578287241558,0.6042577459908519,0.7971403914508814
16,0.02459064846614021,0.7988269527658762,0.03542617837346632,0.7643197863003244,0.6882154209025334,0.7193750493247598,0.9114224359787702,0.44145703521125756,0.766584792245015,0.6934912112065534,0.783919771982203
17,0.02419602172619667,0.800216395774428,0.03287407428376178,0.7737820390510717,0.6999468388492001,0.7230029821590016,0.9122085302942649,0.4261343616646439,0.7731938956731386,0.7177344274362916,0.7857436957266682
18,0.023938630784766962,0.8015660867202091,0.0366894321815824,0.7590230076957324,0.6817166923689785,0.7072008209862395,0.9113048602300537,0.44651749443061195,0.7486961992321246,0.6390740888782299,0.7904114621601763
19,0.023498858174408294,0.8041206265503305,0.03572493715694781,0.7467607167843286,0.6686279639866735,0.7028750597804959,0.9057285740007748,0.4453262927082896,0.7293521595587875,0.6417591082597086,0.7922091643749188
20,0.023226189993942378,0.8060115237616148,0.03356034994515016,0.7682626566176938,0.6932181538615667,0.7129608138963526,0.9126800606294058,0.4307691774447635,0.7590407488994029,0.6692652340052048,0.7930488485029858
21,0.02298168567175005,0.8047001393490492,0.03484422420652866,0.760238981110475,0.6835108519495914,0.7166029968433005,0.9071824730415881,0.43839808883980175,0.757003947751901,0.696820088124436,0.7836103864587757
22,0.022803564861515815,0.8059801557702648,0.036241712564078016,0.7434474972969535,0.6632352958092907,0.6881969291585734,0.9170355696523994,0.4288363540027116,0.7040639213716415,0.5933339252992792,0.7977148754668354
