epoch,train_loss,train_acc,val_loss,val_acc,val_kappa,val_macro_f1,val_f1_W,val_f1_N1,val_f1_N2,val_f1_N3,val_f1_REM
1,0.05925918410076355,0.6601241717535348,0.07428535495916926,0.6211818113321278,0.510142188029117,0.5656432877838473,0.8157837740276148,0.22991565135895034,0.6021030934475595,0.48517329910141205,0.6952406209837002
2,0.03491771463488428,0.7780801638232379,0.05799633013522404,0.672421262808921,0.5741454476044823,0.6382484957126108,0.7724356346343063,0.28564463475643365,0.706003729157823,0.7837229195398285,0.6434355604746627
3,0.03170820978311403,0.7969922262221527,0.04646137644333435,0.7308808016877637,0.6487556337933469,0.6839011743040879,0.8301399716595972,0.371566379053241,0.7617442573609372,0.6804154868041549,0.7756397766425092
4,0.029468684662923527,0.8031812490217561,0.04520388046928149,0.7521097046413502,0.6687642397614173,0.6958596605883793,0.8444125329821115,0.3322535457888286,0.8310001750460088,0.7720502222568821,0.6995818268680661
5,0.02873378920012152,0.8079218187509782,0.05401230520068497,0.6828887884267631,0.5913701021762124,0.6510711929860389,0.8404636192680457,0.343848011824507,0.6638789733129355,0.7593168309853641,0.6478485295393425
6,0.02740819934719996,0.8155084259404184,0.0521106528754853,0.7188272302591923,0.6266835011137826,0.6748407066684593,0.8020751391558048,0.3816863778188816,0.7695753775196528,0.660259520913554,0.7606071179344034
7,0.02610484485121321,0.8207550738248031,0.06495265195829959,0.7262903104279687,0.6353629098192605,0.6535647850772811,0.7475160541343318,0.28380462724935734,0.8000266670617342,0.7367868116369602,0.6996897653040224
8,0.026016000503466283,0.8205926853446027,0.04639936900905217,0.7155270494273659,0.6324255220102162,0.6800008744501991,0.8457516768157117,0.42329459152330695,0.7100517322549658,0.6876180362795636,0.7332883353774478
9,0.02512896173594423,0.8249073929149058,0.04759686565453514,0.7237831525015069,0.6397865349080725,0.684213002388766,0.8527682703038396,0.433035226734944,0.7254697339939142,0.6018205876984851,0.8079711932126473
10,0.024827790214951413,0.8262051964313664,0.05231926581608609,0.7235458107293551,0.6382586129023796,0.674450595129751,0.8080871589826213,0.38729648337672623,0.7516851811218892,0.6324748362933575,0.7927093158741608
11,0.024604942370308157,0.827099963478896,0.05155295243882637,0.7251544605183846,0.6416177491164192,0.6810120667527879,0.802912023518662,0.38908584727146184,0.7579884906392094,0.709202977312439,0.7458709950221679
12,0.023246293828605036,0.8324170449209579,0.05695810007210568,0.7188931585292345,0.6309492480757104,0.6729290914957045,0.7783925819247581,0.4191761530336815,0.7596160125383661,0.6402637448354033,0.7671969651463134
