epoch,train_loss,train_acc,val_loss,val_acc,val_kappa,val_macro_f1,val_f1_W,val_f1_N1,val_f1_N2,val_f1_N3,val_f1_REM
1,0.06758566690897637,0.5726751289709476,0.055947829676170104,0.5838208664159353,0.4673414257412162,0.5578874825826619,0.48518527058498007,0.2335264181844162,0.5800640378292229,0.765076575682851,0.7255851106318396
2,0.04633234872146652,0.7078898542854557,0.0499635785055295,0.7179516645772391,0.6041721099713708,0.6447380688752926,0.6032147080959037,0.3390625,0.7575577573439146,0.7495951895388224,0.7742601893978222
3,0.041377895791108864,0.7365587383473617,0.05035605313349009,0.7463818080512606,0.6288557757552802,0.6527658412526238,0.5280600281381898,0.347299247891818,0.8168479051950311,0.7879505133852746,0.7836715116528055
4,0.03832358096180291,0.7514277310163816,0.04660336229743142,0.699293077030227,0.5896722558563634,0.6431480985113309,0.6236088211046991,0.3073127440539581,0.7243437007589754,0.792584152012565,0.7678910746264576
5,0.03629887254239585,0.7646234953389447,0.06930275253462731,0.6498990110043181,0.4982748858831264,0.5862444796426287,0.6035324852339845,0.3332031351717314,0.6996211599137273,0.6791211284650002,0.6157444894287
6,0.03478712713972499,0.7709351525024889,0.05801371827634418,0.6266367182058783,0.4974085969858122,0.5898932871230489,0.5524295176132701,0.26390821804062825,0.6926199681122718,0.7770042461134828,0.6635044857355914
7,0.0337145266467273,0.7755385102724228,0.049420629675872546,0.7324905975762641,0.6230173675466324,0.6558427915624663,0.5818378899193063,0.35080976031094796,0.7755106911034746,0.8075009958429938,0.7635546206356081
8,0.03268318734264005,0.7781688388089419,0.0510574679197475,0.7064598133444769,0.5940657433470781,0.6257944174517615,0.5286292280304257,0.32595759686163883,0.737335431263947,0.7848464787550467,0.7522033523477492
9,0.03132048492809692,0.7891992488007965,0.05523327149597113,0.724575149742304,0.6034939555548514,0.6324486860696682,0.5014019462312387,0.34349030470914127,0.8031243242054489,0.7994193744544376,0.7148074807480748
10,0.031098003781160646,0.7881720065164268,0.05231150788925604,0.6669557041370664,0.5481863295227929,0.6271295954277043,0.6197632440601125,0.2726298054832287,0.7434819792302994,0.7858499836226662,0.713922964742215
11,0.03029981003065262,0.7917741424563309,0.051870138942883996,0.7227782420949993,0.6071902902238029,0.6438802668534209,0.5699282552282094,0.3200299367098905,0.805802760624773,0.7864437282886201,0.7371966534156118
