epoch,train_loss,train_acc,val_loss,val_acc,val_kappa,val_macro_f1,val_f1_W,val_f1_N1,val_f1_N2,val_f1_N3,val_f1_REM
1,0.05156376548537286,0.6724469056994339,0.0455887308918214,0.6852417636583349,0.5909916487507372,0.6431510577386075,0.8591121470486516,0.3694932607053397,0.7052360186725039,0.6538587056222301,0.6280551566443121
2,0.04166350423208995,0.721769096890955,0.04861160599713851,0.6718382306175666,0.5740002768215303,0.6200876739241501,0.8458865952362201,0.3571649654000048,0.6780123717376811,0.5523708762142926,0.6670035610325517
3,0.03931764929427683,0.731936084465183,0.04559456077202632,0.7183930388602684,0.6272865997476461,0.661564331014315,0.9007924208877648,0.36347764225049917,0.7125044614666557,0.6767906190576801,0.6542565114089748
4,0.038007186977657544,0.7372839656079608,0.04209834251085826,0.7025511988806208,0.6130218404900043,0.6574236751753775,0.8628997088221172,0.39061909752696145,0.7106422453139599,0.6174706667335922,0.7054866574802566
5,0.036826847154140425,0.7428277160054815,0.04387015673624943,0.6795828563251288,0.5868871960580031,0.6387079946399653,0.8434749410605558,0.3982450723440922,0.6810110463177257,0.5594990788706382,0.7113098346068143
6,0.03602035815148342,0.7456850942774376,0.04638220713006685,0.6941649971379508,0.6013748437545707,0.644498843523777,0.8581406382963738,0.3900460017472032,0.7113736733165411,0.5820656641128299,0.6808682401459374
7,0.03537983911525488,0.7500328135209052,0.04131766522529435,0.7494677383450995,0.6653295069222922,0.6811437256593746,0.9019973312184796,0.3827662354532326,0.756688305208282,0.6464323118086575,0.7178344446082214
8,0.034704769426981426,0.7523236887601404,0.04226798635515289,0.7154956115245182,0.6270940333502872,0.660746953798984,0.8896887913816325,0.40727246830474706,0.7063051194983421,0.59132713227489,0.709141257535308
9,0.034139029556190144,0.7549724771172671,0.04439744568070757,0.7298571360427399,0.6426617281454372,0.6744827175228794,0.8976031630433419,0.40866101024845664,0.7403893778584543,0.655707241998461,0.6700527944656836
10,0.0337895044403338,0.7568406795145334,0.04367995285104759,0.7118739267315398,0.6222910672487244,0.6581893410447048,0.8915724735767853,0.4099469410521536,0.7189210281714308,0.6166688476717197,0.6538374147514353
11,0.03328657378949773,0.7590615911232921,0.04427608187584765,0.713504102270559,0.6241354582176126,0.6593128065445797,0.8888515339767784,0.4062719990514935,0.7136796824312902,0.6078346789670153,0.6799261382963215
12,0.03273797613732917,0.7621430264763194,0.04630539875990748,0.7420884214208484,0.65518632317348,0.6848106576938279,0.8872779116604549,0.4090595201577086,0.7834790085054795,0.6868070329053771,0.6574298152401193
13,0.032564368131995154,0.7626230868416336,0.04417642907466419,0.7353506805317052,0.648773074361819,0.6781036627238624,0.891463689082963,0.40982736552929794,0.7550820935558635,0.6525345412677251,0.6816106241834625
14,0.03219884374373953,0.7645067564051414,0.04011230062863238,0.7522828817655663,0.6693871479932023,0.6878263636635962,0.8959123544063619,0.3917900734118277,0.7679867089936633,0.6551346268328474,0.7283080546732807
15,0.03181975886493745,0.7660953933864132,0.04069730050162055,0.7189217229536348,0.6322174335098449,0.6626060643867833,0.897282168727636,0.4086291733702864,0.696158768439411,0.5866211756267538,0.7243390357698289
16,0.031592617177532784,0.7676691414132654,0.03982360216905696,0.7448852795268078,0.6618949475660771,0.6877400335488104,0.8958188507773953,0.40615893320864055,0.7520187884258479,0.6528964655134802,0.7318071298186882
17,0.031381627418783614,0.7687923178777313,0.042409936426730924,0.7402686351205241,0.6541248091561475,0.6798113922890541,0.9027339592966859,0.4054909183900304,0.7379395524092113,0.6398083560267369,0.713084175322606
18,0.031077485696059264,0.7709129097353524,0.03858168767654991,0.7387978598231889,0.656270586013584,0.6884203996331075,0.8772355346649819,0.40754878035083664,0.7555124865990799,0.6689010034962026,0.7329041930544367
19,0.030847305011381398,0.7720673096382129,0.03844737276567107,0.7471602111556319,0.6652133700939638,0.6919093823515594,0.8931829595931522,0.40573572874195124,0.7584251895915731,0.6627941885712183,0.7394088452599022
20,0.030766219973634455,0.7709851862131173,0.041240493545994274,0.7367785250906316,0.6514080411443404,0.6791195792563645,0.8920736925780525,0.40141825884051874,0.7459319550169266,0.639996062662005,0.7161779271843203
21,0.03043288270344306,0.7731027424586723,0.04140200742568904,0.7404944190040069,0.6554228209042474,0.6833486905256825,0.8934403911125438,0.40837267512146536,0.7519815216385415,0.6393283716956644,0.7236204930601974
22,0.03013733221733433,0.7744428929093884,0.041075257886275064,0.7521254690580678,0.669202606682213,0.696595647912968,0.9001871906005504,0.41448663982151934,0.771752184988074,0.6779568784268458,0.7185953457278507
